Round,TrainLoss,TrainAcc,TestLoss,TestAcc
398,2.27557053,0.4340,2.39048341,0.4293
399,2.27831778,0.4150,2.35356641,0.4428
400,2.38514478,0.3850,2.35453527,0.4455
401,2.46135128,0.3670,2.33346919,0.4511
402,2.26384171,0.4330,2.36349795,0.4382
403,2.31745100,0.4240,2.33431522,0.4420
404,2.26254796,0.4160,2.33524797,0.4425
405,2.16959532,0.4530,2.37622346,0.4267
406,2.41473182,0.4030,2.29681827,0.4509
407,2.39135812,0.3800,2.30483567,0.4548
408,2.33210407,0.4190,2.36013937,0.4395
409,2.29485725,0.4150,2.27428157,0.4678
410,2.21099546,0.4530,2.28183127,0.4571
411,2.29431778,0.4230,2.29756356,0.4580
412,2.26099712,0.4320,2.27732832,0.4607
413,2.30739630,0.4130,2.30375014,0.4524
414,2.16142686,0.4410,2.28142354,0.4564
415,2.12378963,0.4770,2.27461078,0.4609
416,2.39719695,0.3770,2.27794694,0.4547
417,2.25604987,0.4620,2.30358254,0.4442
418,2.34054487,0.4160,2.25159309,0.4656
419,2.24128321,0.4350,2.25535649,0.4664
420,2.19216069,0.4410,2.26173796,0.4659
421,2.12916327,0.4400,2.23920077,0.4700
422,2.21955602,0.4510,2.27106195,0.4615
423,2.23513098,0.4380,2.26712691,0.4579
424,2.18236898,0.4500,2.19990044,0.4873
425,2.21912601,0.4300,2.21773754,0.4743
426,2.16468053,0.4410,2.20759308,0.4770
427,2.04117593,0.4690,2.21717205,0.4753
428,2.17807046,0.4510,2.22152463,0.4726
429,2.18427844,0.4560,2.20644817,0.4757
430,2.20199604,0.4560,2.21652702,0.4708
431,2.07659718,0.4880,2.27769969,0.4514
432,2.15579784,0.4750,2.20496363,0.4761
433,2.17034140,0.4400,2.19112618,0.4798
434,2.24849275,0.4280,2.23856295,0.4642
435,2.20200133,0.4410,2.23567588,0.4613
436,2.05588375,0.4860,2.19917369,0.4728
437,2.28737402,0.4410,2.15314061,0.4873
438,2.01886599,0.4900,2.23624856,0.4601
439,2.27169994,0.4150,2.15479763,0.4867
440,2.12218465,0.4360,2.13125260,0.4934
441,2.29957256,0.4280,2.13910513,0.4909
442,2.15861348,0.4590,2.15819979,0.4731
443,2.21277258,0.4500,2.12480669,0.4924
444,2.16405526,0.4510,2.16972937,0.4721
445,2.39717307,0.3970,2.15869046,0.4872
446,1.99664895,0.4930,2.16578385,0.4740
447,2.17349926,0.4660,2.15612048,0.4788
448,2.17417622,0.4340,2.15694512,0.4781
449,2.19577018,0.4420,2.13337951,0.4858
450,2.27725937,0.4350,2.06187877,0.5130
451,1.93079406,0.5020,2.17207979,0.4724
452,2.02411367,0.5080,2.13418692,0.4856
453,2.12042389,0.4740,2.05724512,0.5084
454,1.99383076,0.4970,2.11727167,0.4856
455,2.23530061,0.4330,2.05948311,0.5062
456,2.00113510,0.4920,2.09332283,0.4968
457,2.16246185,0.4540,2.08672946,0.4939
458,2.16648176,0.4580,2.09148580,0.4971
459,2.01440992,0.4920,2.07987090,0.4975
460,1.99921922,0.4830,2.11637282,0.4860
461,2.11063594,0.4710,2.11118653,0.4909
462,1.92870758,0.4940,2.06950628,0.4964
463,2.00724823,0.4850,2.15569125,0.4714
464,2.20437256,0.4710,2.06447700,0.5037
465,2.15025504,0.4760,2.03576891,0.5097
466,1.97138267,0.5060,2.03332209,0.5080
467,2.05242014,0.4770,2.10862860,0.4851
468,2.08854027,0.4760,2.07483094,0.4934
469,1.90717625,0.5250,2.14272367,0.4752
470,1.94981388,0.5050,2.08259096,0.4879
471,2.07589895,0.4710,2.10745968,0.4823
472,2.21671107,0.4350,2.05078220,0.5023
473,2.05258520,0.4820,2.16016868,0.4637
474,1.97373499,0.5110,2.11455533,0.4760
475,1.87222985,0.5250,2.13450624,0.4712
476,2.19097332,0.4460,1.95569404,0.5278
477,1.94581770,0.5010,2.04918174,0.4964
478,2.06038728,0.5040,2.00380351,0.5119
479,2.18033739,0.4550,2.03152971,0.5009
480,1.94718239,0.5140,2.04399837,0.4943
481,1.85943838,0.5230,2.02113417,0.5033
482,2.12496382,0.4610,2.00512215,0.5101
483,1.97158502,0.4960,2.05755098,0.4935
484,1.85539456,0.5330,1.99258961,0.5095
485,1.98311412,0.4980,2.01378761,0.5032
486,1.91152980,0.5260,1.99391285,0.5090
487,1.88503778,0.5150,1.97009630,0.5127
488,1.86925395,0.5320,1.96074539,0.5169
489,1.91753266,0.5360,1.98263613,0.5161
490,2.04531792,0.4850,1.96055147,0.5181
491,1.72135188,0.5470,1.94771924,0.5230
492,1.97063508,0.5080,2.00030932,0.5105
493,1.92921500,0.5040,1.95677975,0.5181
494,2.01249888,0.4890,1.98833204,0.5118
495,1.74008831,0.5490,1.95657832,0.5183
496,1.98350019,0.5020,2.01649493,0.5025
497,1.75111121,0.5370,1.95058399,0.5237
498,2.03096671,0.4880,1.91234653,0.5343
499,1.98956672,0.4850,1.91610175,0.5329
500,1.85472353,0.5230,1.98203466,0.5084
501,1.77167105,0.5470,1.94790967,0.5199
502,1.99250242,0.5110,1.91311601,0.5320
503,1.81435737,0.5400,1.98958585,0.5075
504,1.98574428,0.5090,1.91219724,0.5265
505,1.90652457,0.4980,2.00442716,0.5025
506,1.62209586,0.5830,1.91641535,0.5274
507,1.89998457,0.5070,1.90904171,0.5261
508,1.83326165,0.5320,1.90208820,0.5302
509,1.88588472,0.5110,1.95670397,0.5141
510,1.78957984,0.5490,1.93040609,0.5233
511,1.88402471,0.5200,1.96370595,0.5127
