Round,TrainLoss,TrainAcc,TestLoss,TestAcc
239,0.76556585,0.7946,0.64711134,0.7880
240,0.77909149,0.7707,0.59523724,0.8094
241,0.93321767,0.7317,0.59257553,0.8098
242,0.70579525,0.7803,0.62765023,0.7887
243,0.97026154,0.7223,0.59438732,0.8130
244,0.67323937,0.8007,0.61028965,0.8011
245,0.86168370,0.7470,0.59715692,0.8087
246,0.64663188,0.8106,0.61939735,0.7917
247,0.85071109,0.7531,0.59854033,0.8119
248,0.74184343,0.7806,0.61382600,0.8030
249,0.59437881,0.8261,0.59635272,0.8103
250,0.70926409,0.7853,0.61256900,0.8020
251,0.58430027,0.8224,0.61686361,0.7972
252,0.98114367,0.7148,0.58969236,0.8111
253,0.76634427,0.7782,0.60367657,0.8052
254,0.78362811,0.7755,0.59837982,0.8064
255,0.68693696,0.7960,0.59068536,0.8107
256,0.66467179,0.8072,0.61203225,0.7949
257,0.73849412,0.7723,0.63285097,0.7873
258,0.94756690,0.7242,0.60396053,0.7994
259,0.83143508,0.7598,0.59495147,0.8087
260,0.79718785,0.7508,0.62976726,0.7948
261,0.53633552,0.8306,0.61442914,0.7988
262,0.70254751,0.7954,0.59500932,0.8075
263,0.66443908,0.8024,0.60617671,0.8074
264,0.53564779,0.8332,0.59642480,0.8039
265,0.65855901,0.8061,0.70413564,0.7662
266,0.78824556,0.7662,0.61694272,0.7994
267,0.72146899,0.7757,0.59709582,0.8060
268,0.61943999,0.8203,0.58810996,0.8094
269,0.47864048,0.8516,0.60634609,0.8037
270,0.85595532,0.7607,0.58490432,0.8112
271,0.61770876,0.8165,0.60870907,0.7985
272,0.85826414,0.7558,0.58980576,0.8129
273,0.66836398,0.8002,0.59934760,0.8112
274,0.71506238,0.7863,0.59280721,0.8119
275,0.55782863,0.8464,0.57696029,0.8144
276,0.73632293,0.7792,0.58062251,0.8133
277,0.77822638,0.7681,0.58892767,0.8107
278,0.62862850,0.8057,0.59379267,0.8053
279,0.89626316,0.7483,0.58268736,0.8129
280,0.58840259,0.8288,0.58532121,0.8108
281,0.62195273,0.8191,0.58555491,0.8114
282,0.66931572,0.7940,0.59346967,0.8029
283,0.59035437,0.8211,0.59761387,0.8015
284,0.58383141,0.8232,0.57880597,0.8087
285,0.59370011,0.8198,0.56904758,0.8179
286,0.68784149,0.7904,0.62025830,0.7895
287,0.75324926,0.7790,0.57681327,0.8084
288,0.71538445,0.7931,0.57225322,0.8133
289,1.04115723,0.7044,0.56897026,0.8168
290,0.67280497,0.8099,0.56944411,0.8159
291,0.62469483,0.8187,0.57208023,0.8135
292,0.60667810,0.8250,0.57220894,0.8158
293,0.64138577,0.8155,0.57918815,0.8118
294,0.63029973,0.8219,0.61688910,0.7942
295,0.95228705,0.7307,0.56889735,0.8177
296,0.59650964,0.8211,0.58979483,0.8059
297,0.65329016,0.8115,0.58876350,0.8072
298,0.65767365,0.8025,0.64572796,0.7845
299,0.59743331,0.8295,0.65137639,0.7930
300,0.65821044,0.8005,0.63672850,0.7882
301,0.67377714,0.8030,0.61133931,0.7948
302,0.56977809,0.8266,0.61400960,0.7962
303,0.62837525,0.8030,0.58879558,0.8090
304,0.63547927,0.8073,0.59008402,0.8041
305,0.63871780,0.8180,0.62210584,0.7928
306,0.73063770,0.8033,0.59498737,0.8012
307,0.54928386,0.8386,0.63062305,0.7890
308,0.84459463,0.7520,0.59054396,0.8010
309,0.52323295,0.8320,0.61227723,0.7948
310,0.76843916,0.7636,0.57698790,0.8079
311,0.62324545,0.8256,0.56233956,0.8179
312,0.69334053,0.7977,0.62635973,0.7881
313,0.54634928,0.8326,0.61089038,0.7968
314,0.72212850,0.7922,0.58369166,0.8127
315,0.70679127,0.7885,0.55358759,0.8194
316,0.68538688,0.8025,0.58956426,0.8025
317,0.65844439,0.7970,0.56087174,0.8189
318,0.59829313,0.8151,0.62577529,0.7873
319,0.61672423,0.8134,0.63134761,0.7868
320,0.68189443,0.7955,0.68509499,0.7786
321,0.78096942,0.7779,0.56345694,0.8154
322,0.58206267,0.8180,0.56507919,0.8131
323,0.60414379,0.8211,0.56744863,0.8089
324,0.78668890,0.7727,0.58161743,0.8066
325,0.52917021,0.8510,0.56629647,0.8163
326,0.69667043,0.7869,0.59667399,0.8051
327,0.71723446,0.7909,0.56483150,0.8129
328,0.76528299,0.7667,0.56381853,0.8148
329,0.65512931,0.7966,0.56059820,0.8122
330,0.59105298,0.8210,0.56786006,0.8143
331,0.66246904,0.8025,0.57076000,0.8125
332,0.59236412,0.8171,0.58328064,0.8037
333,0.75000542,0.7730,0.55559042,0.8162
334,0.58358664,0.8260,0.57608760,0.8078
335,0.75815855,0.7731,0.55234857,0.8183
336,0.67655379,0.7991,0.55279891,0.8166
337,0.64639072,0.8003,0.56648669,0.8108
338,0.66795772,0.7979,0.57091774,0.8123
339,0.59748916,0.8253,0.63016995,0.7850
340,0.59948966,0.8191,0.61115206,0.8026
341,0.68181111,0.7826,0.55785021,0.8201
342,0.51829209,0.8382,0.56150339,0.8156
343,0.72393654,0.7918,0.56129449,0.8191
344,0.59333970,0.8274,0.57387312,0.8110
345,0.57662717,0.8241,0.55025209,0.8211
346,0.60799923,0.8261,0.56760261,0.8125
347,0.89545435,0.7583,0.56100072,0.8147
348,0.58326823,0.8128,0.55922189,0.8159
349,0.58339691,0.8278,0.56660340,0.8073
350,0.58266022,0.8212,0.55887886,0.8156
351,0.64952126,0.8082,0.55485181,0.8201
352,0.97570609,0.7425,0.55865261,0.8188
353,0.81791842,0.7655,0.58262919,0.8044
354,0.65033672,0.8099,0.54539731,0.8205
355,0.71654809,0.7885,0.54492605,0.8196
356,0.73508643,0.7892,0.55767074,0.8105
357,0.76234118,0.7634,0.59169968,0.7924
358,0.61484878,0.8151,0.55108370,0.8153
359,0.72339582,0.7793,0.62693475,0.7857
360,0.66107900,0.7927,0.55960685,0.8146
361,0.75546845,0.7804,0.60909708,0.7931
362,0.56854223,0.8220,0.55696301,0.8158
363,0.53638538,0.8347,0.54726023,0.8156
364,0.61031244,0.8242,0.57942803,0.8076
365,0.53700501,0.8322,0.54096161,0.8197
366,0.60844288,0.7981,0.57010332,0.8141
367,0.61186635,0.8135,0.54329208,0.8197
368,0.69328914,0.7965,0.62379935,0.7876
369,0.56657010,0.8187,0.58267669,0.8068
370,0.61620729,0.8221,0.61665950,0.7968
371,0.62172969,0.8053,0.56763658,0.8159
372,0.84628198,0.7354,0.55958957,0.8161
373,0.59083626,0.8207,0.56171023,0.8156
374,0.70513049,0.7870,0.56876197,0.8099
375,0.67526655,0.8019,0.53334946,0.8269
376,0.58998079,0.8212,0.56381126,0.8161
377,0.63400677,0.8154,0.54553392,0.8236
378,0.65645567,0.8019,0.56070899,0.8097
379,0.70003865,0.7833,0.54098241,0.8208
380,0.58123790,0.8207,0.57079258,0.8057
381,0.43568440,0.8650,0.61187909,0.7968
382,0.49829679,0.8450,0.56269237,0.8121
383,0.64758590,0.7999,0.59640866,0.7979
384,0.85799445,0.7537,0.54577762,0.8188
385,0.59822034,0.8130,0.58524458,0.7984
386,0.65284495,0.8078,0.55949890,0.8112
387,0.72841897,0.7881,0.58677931,0.7961
388,0.68623638,0.7923,0.58464581,0.8000
389,0.64734357,0.8041,0.56189813,0.8181
390,0.67589311,0.7901,0.54278317,0.8155
391,0.59329269,0.8195,0.57998209,0.8019
392,0.69515330,0.7852,0.57895939,0.8002
393,0.64048930,0.7981,0.53982771,0.8184
394,0.59671995,0.8258,0.54587723,0.8144
395,0.67060976,0.8045,0.53958995,0.8206
396,0.55348885,0.8309,0.57535071,0.8107
397,0.69332596,0.8130,0.53910624,0.8210
398,0.62430627,0.8027,0.60238624,0.8010
399,0.70023084,0.7976,0.53605621,0.8197
400,0.65917620,0.8133,0.54886853,0.8131
401,0.53226128,0.8330,0.57047804,0.8098
402,0.66868535,0.8000,0.53995869,0.8234
403,0.69700394,0.7889,0.54764649,0.8229
404,0.71156121,0.7945,0.52973813,0.8251
