Round,TrainLoss,TrainAcc,TestLoss,TestAcc
126,0.95450754,0.7259,0.78016160,0.7622
127,0.85441710,0.7510,0.77848268,0.7591
128,0.84942068,0.7577,0.76147554,0.7635
129,0.94410118,0.7244,0.76107685,0.7597
130,0.94579624,0.7303,0.75687826,0.7616
131,0.76752846,0.7750,0.79156542,0.7539
132,0.92640330,0.7357,0.77513704,0.7598
133,0.90670501,0.7330,0.74282042,0.7748
134,0.97224374,0.7419,0.75816478,0.7718
135,0.91824606,0.7434,0.73997419,0.7710
136,0.77758297,0.7753,0.81466298,0.7393
137,0.77627911,0.7728,0.76233612,0.7599
138,0.86226965,0.7624,0.73954065,0.7736
139,0.91821904,0.7341,0.73520427,0.7743
140,0.99248238,0.7252,0.72739242,0.7740
141,0.73289053,0.7818,0.73416352,0.7702
142,0.86852068,0.7469,0.72208688,0.7730
143,0.89453572,0.7555,0.73926294,0.7678
144,0.91579662,0.7346,0.73931930,0.7685
145,0.87122504,0.7494,0.72316529,0.7732
146,0.85578864,0.7543,0.71567182,0.7811
147,0.71857345,0.7850,0.78006186,0.7532
148,0.97047876,0.7273,0.73241139,0.7713
149,0.86107498,0.7520,0.70766708,0.7820
150,0.92205305,0.7325,0.71537843,0.7791
151,0.96426405,0.7311,0.69879327,0.7861
152,0.88138028,0.7436,0.73187075,0.7680
153,0.89406257,0.7501,0.72802088,0.7714
154,1.05182430,0.6959,0.82075161,0.7434
155,1.03282247,0.7043,0.72774568,0.7749
156,0.99341050,0.7045,0.69637090,0.7845
157,0.80165297,0.7742,0.74555729,0.7630
158,0.71560917,0.7865,0.70907665,0.7803
159,0.72980592,0.7918,0.74833809,0.7636
160,0.91296997,0.7436,0.73169539,0.7668
161,0.82572033,0.7684,0.74166603,0.7665
162,0.77804954,0.7637,0.72457421,0.7644
163,0.79424045,0.7594,0.68202740,0.7860
164,0.92454912,0.7416,0.74312412,0.7603
165,0.77110127,0.7693,0.71633396,0.7730
166,0.91091724,0.7213,0.67545346,0.7900
167,0.91129490,0.7496,0.71243488,0.7821
168,0.85894516,0.7539,0.67757258,0.7912
169,0.77374678,0.7728,0.71133717,0.7752
170,0.83189734,0.7533,0.70248959,0.7786
171,0.73114219,0.7956,0.67420428,0.7827
172,0.79047280,0.7685,0.78118438,0.7562
173,0.73119520,0.7868,0.67038201,0.7877
174,0.80093226,0.7566,0.67701318,0.7902
175,0.74297042,0.7782,0.73308688,0.7710
176,0.96298329,0.7248,0.66228462,0.7928
177,0.90883902,0.7525,0.65449651,0.7952
178,0.79230582,0.7668,0.65297033,0.7955
179,0.77880247,0.7736,0.65294729,0.7938
180,0.81268161,0.7740,0.66381581,0.7897
181,0.79588402,0.7645,0.69186340,0.7766
182,0.73742199,0.7705,0.66679436,0.7896
183,0.79798044,0.7597,0.69522338,0.7802
184,0.72579459,0.7710,0.67437962,0.7788
185,0.71627389,0.7965,0.68555592,0.7768
186,0.80340620,0.7531,0.66045604,0.7914
187,0.66327357,0.7971,0.66073295,0.7926
188,0.67738356,0.7917,0.66494746,0.7923
189,0.74922213,0.7794,0.66014951,0.7904
190,0.72044385,0.7893,0.65117251,0.7959
191,0.75276906,0.7828,0.64933856,0.7946
192,0.77399543,0.7676,0.72657343,0.7662
193,0.79516561,0.7618,0.72161758,0.7635
194,0.76198849,0.7851,0.65685598,0.7933
195,0.74232794,0.7694,0.69773324,0.7731
196,0.82458660,0.7620,0.69484562,0.7811
197,0.79026997,0.7721,0.70427147,0.7725
198,0.88514359,0.7377,0.75793087,0.7611
199,0.75382857,0.7709,0.65839835,0.7940
200,0.72590626,0.7858,0.64339967,0.8005
201,0.78079450,0.7753,0.66017529,0.7915
202,0.80910599,0.7638,0.68234343,0.7915
203,0.71726538,0.7906,0.76678799,0.7554
204,0.73227506,0.7841,0.67343101,0.7848
205,0.77427760,0.7860,0.64992363,0.7976
206,0.69203592,0.7989,0.68225725,0.7808
207,0.64787460,0.8024,0.79762373,0.7514
208,0.95296631,0.7305,0.64284477,0.7985
209,0.95479003,0.7321,0.82107387,0.7413
210,0.77642615,0.7611,0.68945105,0.7810
211,0.77144459,0.7823,0.64464500,0.7972
212,0.82513833,0.7573,0.70860664,0.7711
213,0.77944253,0.7836,0.67325003,0.7782
214,0.74258410,0.7840,0.63473710,0.7956
215,0.76159778,0.7616,0.66430934,0.7883
216,0.77146727,0.7773,0.63824359,0.7907
217,0.97741528,0.7480,0.64146527,0.7971
218,0.77437005,0.7838,0.63984403,0.8001
219,0.82401241,0.7543,0.62012935,0.8041
220,0.64701958,0.8051,0.64328719,0.7967
221,0.87354377,0.7509,0.62249973,0.8040
222,0.69191642,0.7900,0.65977099,0.7851
223,0.88861400,0.7414,0.62046299,0.8005
224,0.58819955,0.8208,0.63149375,0.7984
225,0.72041878,0.7780,0.61680339,0.8061
226,0.69717831,0.8011,0.64387269,0.7901
227,0.76104036,0.7755,0.70471563,0.7683
228,0.70045048,0.7932,0.63571400,0.7996
229,0.67974330,0.7939,0.63625155,0.7945
230,0.65889980,0.8036,0.64657635,0.7938
231,0.84468533,0.7555,0.63178026,0.8018
232,0.65135870,0.8066,0.67651177,0.7798
233,0.73514642,0.7686,0.66405862,0.7841
234,0.74139875,0.7788,0.63384959,0.7957
235,0.57944982,0.8250,0.65088308,0.7901
236,0.78946612,0.7788,0.63764518,0.7972
237,0.85640280,0.7579,0.61595299,0.8064
238,0.57630765,0.8242,0.63237340,0.7998
239,0.65227928,0.7932,0.72159408,0.7664
240,0.76124951,0.7738,0.63636571,0.7949
241,0.79106716,0.7882,0.66660467,0.7796
242,0.80124300,0.7652,0.61940189,0.8005
243,0.70286993,0.7892,0.60813962,0.8075
244,0.72021235,0.7920,0.61428421,0.8052
245,0.84181289,0.7707,0.62334216,0.8098
246,0.64450521,0.8147,0.60554368,0.8087
247,0.72237241,0.7914,0.60860886,0.8057
248,0.65031732,0.7982,0.65292178,0.7840
249,0.73597074,0.7916,0.72399809,0.7648
250,0.68860725,0.7978,0.62814083,0.7921
251,0.72746377,0.8004,0.63031079,0.8008
252,0.71101826,0.7860,0.61529380,0.8004
253,0.92064130,0.7410,0.61733035,0.8021
254,0.70230463,0.7947,0.60777486,0.8066
255,0.74004180,0.7883,0.61239034,0.8048
256,0.72756144,0.7780,0.60796133,0.8044
257,0.61578720,0.8144,0.63660566,0.7912
258,0.67409468,0.8104,0.66576402,0.7835
259,0.60006223,0.8255,0.67081659,0.7848
260,0.74966396,0.7796,0.64587478,0.7905
261,0.66964203,0.8085,0.69788171,0.7751
262,0.63352814,0.8154,0.69396327,0.7769
263,0.82012894,0.7593,0.61841104,0.8029
264,0.82833795,0.7588,0.59617279,0.8121
265,0.71066272,0.7889,0.64973201,0.7875
266,0.83597424,0.7637,0.60029371,0.8062
267,0.82338093,0.7596,0.64047914,0.7912
268,0.83755454,0.7634,0.60960373,0.8055
269,0.69581163,0.8000,0.60865252,0.7982
